"Date","Price","Open","High","Low","Vol.","Change %"
"12/26/2010","125.75","125.13","126.20","125.04","339.36M","0.12%"
"12/19/2010","125.60","124.64","125.82","123.98","363.01M","1.05%"
"12/12/2010","124.30","125.05","125.23","123.75","768.00M","-0.14%"
"12/05/2010","124.48","122.63","124.60","122.41","688.93M","1.29%"
"11/28/2010","122.89","118.50","123.03","117.74","1.02B","3.02%"
"11/21/2010","119.29","119.69","120.24","117.99","620.07M","-0.83%"
"11/14/2010","120.29","120.58","121.05","117.59","991.16M","0.07%"
"11/07/2010","120.20","122.34","122.95","119.65","961.00M","-2.05%"
"10/31/2010","122.72","119.07","122.92","117.85","954.82M","3.57%"
"10/24/2010","118.49","119.14","119.76","117.26","813.03M","0.12%"
"10/17/2010","118.35","117.74","119.09","116.02","951.92M","0.55%"
"10/10/2010","117.70","116.72","118.55","115.65","941.12M","1.00%"
"10/03/2010","116.54","114.37","116.86","113.18","887.03M","1.68%"
"09/26/2010","114.61","114.86","115.79","113.18","979.42M","-0.18%"
"09/19/2010","114.82","112.88","114.90","112.18","1.09B","2.07%"
"09/12/2010","112.49","112.58","113.29","111.98","952.74M","0.91%"
"09/05/2010","111.48","110.37","111.68","109.55","567.08M","0.53%"
"08/29/2010","110.89","106.58","110.99","104.49","1.08B","3.77%"
"08/22/2010","106.86","108.04","108.57","104.29","1.21B","-0.62%"
"08/15/2010","107.53","107.57","110.39","106.75","978.65M","-0.72%"
"08/08/2010","108.31","112.92","113.18","107.60","1.04B","-3.63%"
"08/01/2010","112.39","111.99","113.11","110.92","873.29M","1.92%"
"07/25/2010","110.27","110.60","112.29","108.98","990.26M","-0.13%"
"07/18/2010","110.41","107.05","110.57","105.82","1.21B","3.52%"
"07/11/2010","106.66","107.60","110.09","106.45","1.04B","-1.20%"
"07/04/2010","107.96","103.64","107.97","101.88","866.55M","5.64%"
"06/27/2010","102.20","108.03","108.32","101.13","1.44B","-5.26%"
"06/20/2010","107.87","113.12","113.20","106.77","1.21B","-3.45%"
"06/13/2010","111.73","110.52","112.42","109.40","1.10B","1.87%"
"06/06/2010","109.68","107.20","109.75","104.65","1.42B","2.68%"
"05/30/2010","106.82","108.35","111.06","106.47","1.14B","-2.33%"
"05/23/2010","109.37","108.52","110.80","104.38","1.61B","0.24%"
"05/16/2010","109.11","114.20","115.22","105.36","2.11B","-4.20%"
"05/09/2010","113.89","115.81","117.68","112.87","1.53B","2.36%"
"05/02/2010","111.26","119.38","120.68","105.00","2.16B","-6.35%"
"04/25/2010","118.81","121.85","122.12","118.25","1.26B","-2.46%"
"04/18/2010","121.81","119.01","121.86","118.47","985.09M","2.05%"
"04/11/2010","119.36","119.70","121.56","118.75","908.51M","-0.16%"
"04/04/2010","119.55","118.25","119.60","117.60","692.52M","1.49%"
"03/28/2010","117.80","117.17","118.25","116.61","602.58M","1.05%"
"03/21/2010","116.58","115.31","118.17","115.24","992.81M","0.53%"
"03/14/2010","115.97","115.26","117.48","114.60","916.11M","0.44%"
"03/07/2010","115.46","114.26","115.97","113.87","778.23M","1.06%"
"02/28/2010","114.25","111.20","114.34","111.17","771.38M","3.17%"
"02/21/2010","110.74","111.55","111.58","108.94","949.42M","-0.36%"
"02/14/2010","111.14","108.86","111.57","107.82","744.56M","2.87%"
"02/07/2010","108.04","106.74","108.25","105.81","1.33B","1.29%"
"01/31/2010","106.66","108.15","110.59","104.58","1.43B","-0.68%"
"01/24/2010","107.39","110.21","110.47","107.22","1.30B","-1.67%"
"01/17/2010","109.21","113.62","115.13","109.09","1.05B","-3.90%"
"01/10/2010","113.64","115.08","115.14","113.20","759.60M","-0.81%"
"01/03/2010","114.57","112.37","114.62","111.51","604.09M","2.81%"
"12/27/2009","111.44","112.90","113.03","111.39","331.86M","-0.92%"
"12/20/2009","112.48","110.76","112.60","110.76","361.27M","2.06%"
"12/13/2009","110.21","111.87","112.13","105.48","740.89M","-0.81%"
"12/06/2009","111.11","110.91","111.53","109.02","715.77M","0.09%"
"11/29/2009","111.01","109.48","112.38","108.12","895.04M","1.31%"
"11/22/2009","109.57","110.72","111.74","108.29","522.00M","0.13%"
"11/15/2009","109.43","110.38","111.69","109.01","857.47M","-0.17%"
"11/08/2009","109.62","107.95","110.82","107.87","808.97M","2.32%"
"11/01/2009","107.13","104.13","107.40","103.08","1.08B","3.45%"
"10/25/2009","103.56","108.20","109.31","103.44","1.27B","-4.18%"
"10/18/2009","108.08","109.07","110.31","107.50","1.04B","-0.74%"
"10/11/2009","108.89","107.76","109.71","106.76","833.09M","1.52%"
"10/04/2009","107.26","102.90","107.26","102.60","829.88M","4.65%"
"09/27/2009","102.49","104.85","107.02","101.99","1.01B","-1.88%"
"09/20/2009","104.45","105.89","108.03","104.09","953.66M","-2.13%"
"09/13/2009","106.72","103.88","108.06","103.15","935.77M","1.86%"
"09/06/2009","104.77","103.00","105.30","102.39","602.81M","2.66%"
"08/30/2009","102.06","102.37","103.24","99.57","955.39M","-1.28%"
"08/23/2009","103.38","103.39","104.35","101.94","944.46M","0.40%"
"08/16/2009","102.97","98.85","103.13","98.11","1.00B","2.16%"
"08/09/2009","100.79","100.74","101.61","99.46","883.39M","-0.41%"
"08/02/2009","101.20","99.85","102.03","99.31","951.11M","2.42%"
"07/26/2009","98.81","97.88","99.83","96.98","973.28M","0.76%"
"07/19/2009","98.06","94.68","98.14","94.19","990.76M","4.18%"
"07/12/2009","94.13","88.31","94.51","87.59","989.58M","7.01%"
"07/05/2009","87.96","88.94","89.93","87.00","956.94M","-2.06%"
"06/28/2009","89.81","92.11","93.23","89.76","782.72M","-2.21%"
"06/21/2009","91.84","91.14","92.24","88.85","1.10B","-0.22%"
"06/14/2009","92.04","93.96","94.02","90.83","1.10B","-3.20%"
"06/07/2009","95.08","93.84","96.11","93.04","1.22B","0.56%"
"05/31/2009","94.55","93.67","95.67","87.53","1.24B","2.18%"
"05/24/2009","92.53","88.36","93.70","88.32","1.03B","3.94%"
"05/17/2009","89.02","89.55","92.80","88.26","1.16B","0.35%"
"05/10/2009","88.71","91.70","92.11","88.15","1.33B","-4.59%"
"05/03/2009","92.98","88.55","93.22","88.38","1.44B","5.79%"
"04/26/2009","87.89","85.68","89.02","84.76","1.39B","1.42%"
"04/19/2009","86.66","85.54","87.31","82.75","1.55B","-0.48%"
"04/12/2009","87.08","84.92","87.65","83.61","1.35B","1.48%"
"04/05/2009","85.81","83.34","85.82","81.51","1.02B","1.84%"
"03/29/2009","84.26","79.80","84.61","77.96","1.83B","3.25%"
"03/22/2009","81.61","78.74","83.30","78.31","1.93B","6.39%"
"03/15/2009","76.71","76.96","81.00","75.45","1.99B","0.81%"
"03/08/2009","76.09","67.95","76.98","67.73","1.89B","10.40%"
"03/01/2009","68.92","72.52","73.92","67.10","2.31B","-6.78%"
"02/22/2009","73.93","78.27","79.67","73.81","2.10B","-4.51%"
"02/15/2009","77.42","80.16","82.96","75.77","1.64B","-6.45%"
"02/08/2009","82.76","86.96","87.74","81.05","1.86B","-4.85%"
"02/01/2009","86.98","81.57","87.34","77.73","1.67B","5.01%"
"01/25/2009","82.83","83.59","87.95","82.21","1.60B","-0.34%"
"01/18/2009","83.11","84.23","85.06","80.05","1.60B","-2.29%"
"01/11/2009","85.06","88.84","88.91","81.72","2.00B","-4.52%"
"01/04/2009","89.09","92.63","94.55","85.36","1.45B","-4.16%"
"12/28/2008","92.96","87.24","93.44","85.60","718.76M","6.65%"
"12/21/2008","87.16","88.58","88.67","85.49","602.88M","-1.17%"
"12/14/2008","88.19","89.02","92.43","86.29","1.60B","-0.90%"
"12/07/2008","88.99","90.34","92.38","85.20","1.96B","1.21%"
"11/30/2008","87.93","87.51","88.42","81.86","2.28B","-2.40%"
"11/23/2008","90.09","81.92","90.13","80.36","1.47B","13.29%"
"11/16/2008","79.52","86.38","88.56","74.34","3.03B","-8.20%"
"11/09/2008","86.62","95.21","95.53","82.09","2.47B","-7.71%"
"11/02/2008","93.86","96.78","100.86","90.06","1.80B","-3.07%"
"10/26/2008","96.83","85.97","98.57","83.70","2.40B","11.25%"
"10/19/2008","87.04","95.35","99.10","84.00","2.37B","-6.62%"
"10/12/2008","93.21","93.87","105.53","86.54","2.67B","5.32%"
"10/05/2008","88.50","107.15","107.62","83.58","3.28B","-19.79%"
"09/28/2008","110.34","119.18","121.18","109.68","1.95B","-8.70%"
"09/21/2008","120.85","124.45","124.75","117.79","1.50B","-2.63%"
"09/14/2008","124.12","121.63","128.00","113.80","2.97B","-1.56%"
"09/07/2008","126.09","128.04","128.24","121.60","1.71B","1.34%"
"08/31/2008","124.42","130.03","130.71","122.00","1.13B","-3.39%"
"08/24/2008","128.79","128.80","130.34","126.58","858.83M","-0.66%"
"08/17/2008","129.65","130.43","130.48","126.34","940.77M","-0.40%"
"08/10/2008","130.17","129.47","131.51","127.67","1.14B","0.62%"
"08/03/2008","129.37","126.04","129.93","124.76","1.16B","2.54%"
"07/27/2008","126.16","125.51","128.60","123.42","1.35B","0.54%"
"07/20/2008","125.48","126.51","129.15","124.85","1.30B","-0.40%"
"07/13/2008","125.98","125.26","126.42","120.02","1.84B","1.73%"
"07/06/2008","123.84","126.79","127.74","122.49","2.00B","-1.96%"
"06/29/2008","126.31","127.89","129.16","124.99","1.18B","-0.96%"
"06/22/2008","127.53","132.09","133.40","127.03","1.32B","-3.08%"
"06/15/2008","131.58","135.55","137.12","131.22","1.24B","-3.36%"
"06/08/2008","136.15","136.86","137.50","133.52","1.27B","-0.10%"
"06/01/2008","136.29","139.83","140.89","136.22","1.32B","-2.89%"
"05/25/2008","140.35","137.80","140.93","137.53","640.90M","1.97%"
"05/18/2008","137.64","142.81","144.30","137.52","949.24M","-3.52%"
"05/11/2008","142.66","139.25","142.87","138.73","863.13M","2.71%"
"05/04/2008","138.90","141.05","142.20","138.45","828.03M","-1.84%"
"04/27/2008","141.51","139.88","142.37","138.26","808.39M","1.37%"
"04/20/2008","139.60","138.23","139.89","136.64","894.23M","0.81%"
"04/13/2008","138.48","133.19","139.56","132.33","920.42M","3.82%"
"04/06/2008","133.38","137.87","138.57","133.01","914.87M","-2.56%"
"03/30/2008","136.89","131.29","137.96","131.09","1.01B","4.09%"
"03/23/2008","131.51","133.31","135.81","131.06","1.01B","-0.43%"
"03/16/2008","132.08","126.57","134.65","126.07","1.33B","1.91%"
"03/09/2008","129.61","129.81","133.77","127.59","1.64B","-0.08%"
"03/02/2008","129.71","133.14","134.77","128.58","1.32B","-3.07%"
"02/24/2008","133.82","135.54","139.14","132.78","994.47M","-1.33%"
"02/17/2008","135.62","136.69","137.60","132.86","772.44M","0.36%"
"02/10/2008","135.14","133.10","137.10","132.04","996.52M","1.56%"
"02/03/2008","133.07","139.21","139.30","131.73","1.18B","-4.66%"
"01/27/2008","139.58","133.26","139.61","132.06","1.27B","4.92%"
"01/20/2008","133.04","127.21","136.76","126.00","1.48B","0.74%"
"01/13/2008","132.06","141.16","141.86","131.10","1.54B","-5.77%"
"01/06/2008","140.15","141.81","142.90","137.70","1.47B","-0.82%"
"12/30/2007","141.31","147.10","147.61","140.91","670.53M","-4.07%"
"12/23/2007","147.30","148.82","149.68","146.90","352.10M","-0.56%"
"12/16/2007","148.13","146.61","148.42","143.96","982.66M","0.65%"
"12/09/2007","147.17","151.28","152.89","147.10","1.09B","-2.48%"
"12/02/2007","150.91","148.19","151.50","146.31","757.62M","1.51%"
"11/25/2007","148.66","144.43","149.87","140.66","1.19B","3.14%"
"11/18/2007","144.13","145.28","145.53","141.67","1.02B","-1.14%"
"11/11/2007","145.79","145.21","149.40","143.70","1.24B","0.45%"
"11/04/2007","145.14","149.64","152.11","144.89","1.36B","-4.01%"
"10/28/2007","151.20","153.93","155.27","149.21","1.13B","-1.58%"
"10/21/2007","153.62","148.86","153.62","148.00","1.18B","2.64%"
"10/14/2007","149.67","156.27","156.48","149.66","989.99M","-4.26%"
"10/07/2007","156.33","155.39","157.52","154.54","625.12M","0.31%"
"09/30/2007","155.85","152.60","156.10","152.50","591.65M","2.14%"
"09/23/2007","152.58","152.42","153.19","150.47","653.42M","0.40%"
"09/16/2007","151.97","148.31","154.39","147.63","884.06M","2.06%"
"09/09/2007","148.90","146.52","149.45","144.33","780.04M","1.94%"
"09/02/2007","146.07","147.45","149.98","145.26","649.65M","-1.03%"
"08/26/2007","147.59","147.85","148.50","143.46","917.76M","-0.50%"
"08/19/2007","148.33","145.17","148.33","143.29","850.36M","2.50%"
"08/12/2007","144.71","146.50","146.89","137.00","1.70B","0.00%"
"08/05/2007","144.71","144.21","150.59","142.53","1.65B","0.63%"
"07/29/2007","143.80","145.93","149.46","143.20","1.72B","-0.90%"
"07/22/2007","145.11","154.18","154.72","145.05","1.53B","-5.47%"
"07/15/2007","153.50","154.99","156.00","152.29","853.23M","-0.87%"
"07/08/2007","154.85","153.16","155.46","150.52","674.00M","1.22%"
"07/01/2007","152.98","150.87","153.17","150.77","327.79M","1.70%"
"06/24/2007","150.43","150.24","151.65","148.06","1.00B","-0.08%"
"06/17/2007","150.55","153.38","153.58","149.85","787.45M","-1.65%"
"06/10/2007","153.07","150.93","153.66","149.55","832.79M","1.34%"
"06/03/2007","151.04","153.54","154.39","149.06","779.73M","-1.97%"
"05/27/2007","154.08","151.94","154.40","151.34","438.85M","1.58%"
"05/20/2007","151.69","152.58","153.50","150.74","662.04M","-0.61%"
"05/13/2007","152.62","150.86","152.62","149.79","604.45M","1.17%"
"05/06/2007","150.86","150.88","152.82","149.27","515.30M","-0.04%"
"04/29/2007","150.92","149.64","151.12","147.67","506.94M","0.93%"
"04/22/2007","149.53","148.37","149.80","147.32","498.19M","0.61%"
"04/15/2007","148.62","145.83","148.62","145.82","507.51M","2.27%"
"04/08/2007","145.32","144.65","145.32","143.34","416.00M","0.75%"
"04/01/2007","144.24","142.16","144.44","140.89","272.86M","1.58%"
"03/25/2007","142.00","143.50","143.65","140.56","635.09M","-0.97%"
"03/18/2007","143.39","139.26","143.81","138.55","526.45M","3.51%"
"03/11/2007","138.53","140.42","141.34","136.75","757.35M","-1.60%"
"03/04/2007","140.78","137.93","141.42","137.33","629.03M","1.52%"
"02/25/2007","138.67","145.83","145.95","138.05","898.09M","-4.56%"
"02/18/2007","145.30","145.56","146.42","144.06","271.99M","-0.30%"
"02/11/2007","145.73","143.94","145.95","143.19","274.41M","1.24%"
"02/04/2007","143.94","144.70","145.36","143.39","308.27M","-0.60%"
"01/28/2007","144.81","142.19","144.95","141.74","347.47M","1.86%"
"01/21/2007","142.16","143.07","143.98","141.58","320.38M","-0.46%"
"01/14/2007","142.82","143.07","143.46","142.31","221.84M","-0.29%"
"01/07/2007","143.24","140.82","143.24","140.25","333.07M","1.92%"
"12/31/2006","140.54","142.25","142.86","140.38","241.18M","-0.76%"
"12/24/2006","141.62","140.81","142.70","140.78","155.19M","0.62%"
"12/17/2006","140.75","142.54","142.88","140.67","266.28M","-1.12%"
"12/10/2006","142.34","141.42","143.24","140.89","308.46M","0.65%"
"12/03/2006","141.42","140.25","142.30","140.23","357.01M","0.86%"
"11/26/2006","140.22","140.28","141.05","138.11","492.92M","-0.09%"
"11/19/2006","140.35","140.30","141.16","139.94","197.07M","-0.05%"
"11/12/2006","140.42","138.18","140.68","138.07","365.77M","1.58%"
"11/05/2006","138.24","136.96","139.14","136.86","359.14M","1.25%"
"10/29/2006","136.54","137.66","138.31","135.62","336.07M","-0.99%"
"10/22/2006","137.91","136.56","139.00","136.39","345.10M","0.78%"
"10/15/2006","136.84","136.52","137.37","135.67","332.68M","0.15%"
"10/08/2006","136.63","134.85","136.71","134.30","314.83M","1.20%"
"10/01/2006","135.01","133.54","135.41","132.34","332.10M","1.07%"
"09/24/2006","133.58","131.73","133.99","131.05","355.35M","1.60%"
"09/17/2006","131.47","131.79","132.77","131.00","386.42M","-0.37%"
"09/10/2006","131.96","129.86","132.45","129.48","335.87M","1.29%"
"09/03/2006","130.28","131.51","131.85","129.35","237.56M","-0.87%"
"08/27/2006","131.42","129.65","131.58","129.64","251.94M","1.24%"
"08/20/2006","129.81","130.18","130.52","129.19","269.35M","-0.67%"
"08/13/2006","130.69","127.63","130.69","126.92","327.33M","2.90%"
"08/06/2006","127.01","127.90","128.60","126.28","332.07M","-0.93%"
"07/30/2006","128.20","127.66","129.43","126.60","339.65M","0.17%"
"07/23/2006","127.98","124.44","128.14","124.44","442.35M","3.25%"
"07/16/2006","123.95","123.50","126.30","122.39","553.47M","0.35%"
"07/09/2006","123.52","126.94","127.43","122.83","423.03M","-2.44%"
"07/02/2006","126.61","127.43","128.01","126.29","226.49M","-0.49%"
"06/25/2006","127.23","124.54","127.66","123.65","335.04M","2.24%"
"06/18/2006","124.44","125.40","125.70","123.55","365.50M","-0.17%"
"06/11/2006","124.65","125.88","126.36","122.34","673.99M","-0.56%"
"06/04/2006","125.35","128.79","128.86","123.87","625.69M","-2.83%"
"05/28/2006","129.00","127.97","129.43","126.05","324.82M","0.48%"
"05/21/2006","128.38","126.28","128.38","124.76","513.28M","1.01%"
"05/14/2006","127.10","128.79","130.00","125.80","503.26M","-1.66%"
"05/07/2006","129.24","132.51","132.77","129.19","296.69M","-2.48%"
"04/30/2006","132.52","131.47","132.80","130.32","280.47M","0.80%"
"04/23/2006","131.47","130.93","131.75","129.59","384.64M","0.24%"
"04/16/2006","131.15","128.79","131.86","128.02","402.52M","1.90%"
"04/09/2006","128.71","129.71","130.08","128.25","208.48M","-0.64%"
"04/02/2006","129.54","130.07","131.40","129.35","305.16M","-0.22%"
"03/26/2006","129.83","130.03","130.98","129.05","309.66M","-0.29%"
"03/19/2006","130.21","130.64","130.99","129.45","274.65M","-0.31%"
"03/12/2006","130.62","128.84","131.47","128.53","283.41M","1.58%"
"03/05/2006","128.59","129.14","129.18","127.18","303.07M","-0.13%"
"02/26/2006","128.76","129.40","130.07","128.13","293.08M","-0.50%"
"02/19/2006","129.41","129.12","129.65","128.28","169.04M","0.47%"
"02/12/2006","128.81","126.57","129.21","125.95","330.17M","1.71%"
"02/05/2006","126.64","126.44","128.10","125.40","302.71M","0.29%"
"01/29/2006","126.27","128.44","128.81","126.14","340.10M","-1.77%"
"01/22/2006","128.54","126.21","128.66","125.84","345.08M","2.04%"
"01/15/2006","125.97","128.20","128.90","125.97","321.08M","-2.11%"
"01/08/2006","128.68","128.42","129.44","128.20","223.50M","0.19%"
"01/01/2006","128.44","125.10","128.58","124.39","235.85M","3.16%"
"12/25/2005","124.51","126.92","127.05","124.36","152.95M","-1.78%"
"12/18/2005","126.76","126.73","126.87","125.48","207.46M","0.32%"
"12/11/2005","126.36","126.71","128.57","125.96","303.58M","0.02%"
"12/04/2005","126.33","126.64","127.74","125.48","297.50M","-0.41%"
"11/27/2005","126.85","127.25","127.27","125.29","274.66M","-0.22%"
"11/20/2005","127.13","125.15","127.41","124.98","182.59M","1.60%"
"11/13/2005","125.13","123.76","125.76","122.86","293.98M","1.11%"
"11/06/2005","123.76","122.40","123.86","121.75","260.62M","1.35%"
"10/30/2005","122.11","120.29","122.66","120.13","365.90M","1.93%"
"10/23/2005","119.80","118.44","120.54","117.93","373.39M","1.41%"
"10/16/2005","118.13","118.77","119.81","117.12","489.27M","-0.46%"
"10/09/2005","118.67","119.68","119.71","116.88","416.59M","-0.79%"
"10/02/2005","119.61","122.96","123.34","118.17","434.75M","-2.79%"
"09/25/2005","123.04","122.02","123.04","121.02","309.77M","1.32%"
"09/18/2005","121.44","123.47","123.61","120.44","376.87M","-1.67%"
"09/11/2005","123.50","124.45","124.67","122.87","295.80M","-0.88%"
"09/04/2005","124.60","122.66","124.74","122.65","182.22M","1.91%"
"08/28/2005","122.27","120.41","123.15","120.38","355.79M","1.25%"
"08/21/2005","120.76","122.58","123.23","120.68","303.46M","-1.40%"
"08/14/2005","122.47","123.22","123.87","121.84","264.52M","-0.48%"
"08/07/2005","123.06","123.17","124.50","122.38","282.59M","0.15%"
"07/31/2005","122.88","123.83","124.74","122.67","231.14M","-0.70%"
"07/24/2005","123.74","123.41","124.64","122.37","256.61M","0.16%"
"07/17/2005","123.54","122.50","123.73","122.05","342.71M","0.57%"
"07/10/2005","122.84","121.33","123.44","121.31","264.15M","1.25%"
