f"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2025","601.82","589.39","610.78","575.35","995.61M","2.69%"
"12/01/2024","586.08","602.97","609.07","580.91","1.06B","-2.73%"
"11/01/2024","602.55","571.32","603.35","567.89","901.84M","5.96%"
"10/01/2024","568.64","573.40","586.12","565.27","976.13M","-0.89%"
"09/01/2024","573.76","560.47","574.71","539.44","1.05B","1.79%"
"08/01/2024","563.68","552.57","564.20","510.27","1.24B","2.34%"
"07/01/2024","550.81","545.63","565.16","537.45","1.04B","1.21%"
"06/01/2024","544.22","529.02","550.28","522.60","888.92M","3.20%"
"05/01/2024","527.37","501.38","533.07","499.55","1.15B","5.06%"
"04/01/2024","501.98","523.83","524.38","493.86","1.59B","-4.03%"
"03/01/2024","523.07","508.98","524.61","504.91","1.47B","2.95%"
"02/01/2024","508.08","484.63","510.13","483.80","1.39B","5.22%"
"01/01/2024","482.88","472.16","491.62","466.43","1.70B","1.59%"
"12/01/2023","475.31","455.77","477.55","454.31","1.64B","4.14%"
"11/01/2023","456.40","419.20","458.32","418.65","1.50B","9.13%"
"10/01/2023","418.20","426.62","438.14","409.21","2.00B","-2.17%"
"09/01/2023","427.48","453.17","453.67","422.29","1.59B","-5.08%"
"08/01/2023","450.35","456.27","457.25","433.01","1.76B","-1.63%"
"07/01/2023","457.79","442.92","459.44","437.06","1.37B","3.27%"
"06/01/2023","443.28","418.09","444.30","416.79","1.75B","6.09%"
"05/01/2023","417.85","415.47","422.58","403.74","1.78B","0.46%"
"04/01/2023","415.93","408.85","415.94","403.78","1.40B","1.60%"
"03/01/2023","409.39","395.41","409.70","380.65","2.52B","3.31%"
"02/01/2023","396.26","405.21","418.31","393.64","1.60B","-2.51%"
"01/01/2023","406.48","384.37","408.16","377.83","1.58B","6.29%"
"12/01/2022","382.43","408.77","410.49","374.77","1.74B","-6.19%"
"11/01/2022","407.68","390.14","407.68","368.79","1.75B","5.56%"
"10/01/2022","386.21","361.08","389.52","348.11","2.02B","8.13%"
"09/01/2022","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"08/01/2022","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"07/01/2022","411.99","376.56","413.03","371.04","1.44B","9.21%"
"06/01/2022","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"05/01/2022","412.93","412.07","429.66","380.54","2.42B","0.23%"
"04/01/2022","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"03/01/2022","451.64","435.04","462.07","415.12","2.38B","3.44%"
"02/01/2022","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"01/01/2022","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"12/01/2021","474.96","461.64","479.00","448.92","1.93B","4.26%"
"11/01/2021","455.56","460.30","473.54","455.30","1.34B","-0.80%"
"10/01/2021","459.25","430.98","459.56","426.36","1.51B","7.02%"
"09/01/2021","429.14","452.56","454.05","428.78","1.75B","-4.97%"
"08/01/2021","451.56","440.34","453.07","436.10","1.25B","2.98%"
"07/01/2021","438.51","428.87","441.80","421.97","1.42B","2.44%"
"06/01/2021","428.06","422.57","428.78","414.70","1.28B","1.91%"
"05/01/2021","420.04","419.43","422.81","404.00","1.55B","0.66%"
"04/01/2021","417.30","398.40","420.72","398.18","1.46B","5.29%"
"03/01/2021","396.33","385.59","398.12","371.88","2.40B","4.20%"
"02/01/2021","380.36","373.72","394.17","370.38","1.31B","2.78%"
"01/01/2021","370.07","375.31","385.85","364.82","1.40B","-1.02%"
"12/01/2020","373.88","365.57","378.46","362.03","1.35B","3.26%"
"11/01/2020","362.06","330.20","364.38","327.24","1.54B","10.88%"
"10/01/2020","326.54","337.69","354.02","322.60","1.63B","-2.49%"
"09/01/2020","334.89","350.21","358.75","319.80","1.82B","-4.13%"
"08/01/2020","349.31","328.32","351.30","327.73","1.05B","6.98%"
"07/01/2020","326.52","309.57","327.23","309.07","1.51B","5.89%"
"06/01/2020","308.36","303.62","323.41","296.74","2.36B","1.33%"
"05/01/2020","304.32","285.31","306.84","272.99","1.91B","4.76%"
"04/01/2020","290.48","247.98","294.88","243.90","2.82B","12.70%"
"03/01/2020","257.75","298.21","313.84","218.26","5.93B","-13.00%"
"02/01/2020","296.26","323.35","339.08","285.54","2.11B","-7.92%"
"01/01/2020","321.73","323.54","332.95","320.36","1.40B","-0.04%"
"12/01/2019","321.86","314.59","323.80","307.13","1.29B","2.40%"
"11/01/2019","314.31","304.92","315.48","304.74","1.04B","3.62%"
"10/01/2019","303.33","297.74","304.55","284.82","1.41B","2.21%"
"09/01/2019","296.77","290.57","302.63","289.27","1.33B","1.48%"
"08/01/2019","292.45","297.60","300.87","281.72","2.04B","-1.67%"
"07/01/2019","297.43","296.68","302.23","294.33","1.14B","1.51%"
"06/01/2019","293.00","275.31","296.31","273.09","1.34B","6.44%"
"05/01/2019","275.27","294.72","294.95","275.24","1.85B","-6.38%"
"04/01/2019","294.02","284.70","294.45","284.40","1.21B","4.09%"
"03/01/2019","282.48","280.44","285.18","272.42","1.68B","1.36%"
"02/01/2019","278.68","270.15","281.31","267.83","1.37B","3.24%"
"01/01/2019","269.93","245.98","270.47","243.67","2.05B","8.01%"
"12/01/2018","249.92","280.28","280.40","233.76","3.10B","-9.33%"
"11/01/2018","275.65","271.60","281.22","263.07","2.02B","1.85%"
"10/01/2018","270.63","292.11","293.21","259.85","3.02B","-6.91%"
"09/01/2018","290.72","289.84","293.94","286.71","1.23B","0.14%"
"08/01/2018","290.31","281.56","291.74","279.16","1.31B","3.19%"
"07/01/2018","281.33","269.51","284.37","269.24","1.27B","3.70%"
"06/01/2018","271.28","272.41","279.48","268.49","1.60B","0.13%"
"05/01/2018","270.94","263.87","274.25","259.05","1.61B","2.43%"
"04/01/2018","264.51","262.55","271.30","254.67","2.00B","0.52%"
"03/01/2018","263.15","271.41","280.41","257.83","2.34B","-3.13%"
"02/01/2018","271.65","281.07","283.06","252.92","2.92B","-3.64%"
"01/01/2018","281.90","267.84","286.63","267.40","2.00B","5.64%"
"12/01/2017","266.86","264.76","268.60","260.76","1.72B","0.70%"
"11/01/2017","265.01","258.04","266.05","255.63","1.37B","3.06%"
"10/01/2017","257.15","251.49","257.89","251.29","1.32B","2.36%"
"09/01/2017","251.23","247.92","251.32","244.95","1.29B","1.51%"
"08/01/2017","247.49","247.46","248.91","241.83","1.56B","0.29%"
"07/01/2017","246.77","242.88","248.00","240.34","1.06B","2.06%"
"06/01/2017","241.80","241.97","245.01","239.96","1.57B","0.15%"
"05/01/2017","241.44","238.68","242.08","235.43","1.49B","1.41%"
"04/01/2017","238.08","235.80","239.53","232.51","1.55B","0.99%"
"03/01/2017","235.74","238.39","240.32","231.61","1.92B","-0.31%"
"02/01/2017","236.47","228.25","237.31","226.82","1.37B","3.93%"
"01/01/2017","227.53","225.04","229.71","223.88","1.48B","1.79%"
"12/01/2016","223.53","220.73","228.34","219.15","1.82B","1.43%"
"11/01/2016","220.38","212.93","221.82","208.38","2.07B","3.68%"
"10/01/2016","212.55","215.82","216.70","211.21","1.73B","-1.73%"
"09/01/2016","216.30","217.37","219.22","212.31","2.30B","-0.50%"
"08/01/2016","217.38","217.19","219.60","214.25","1.52B","0.12%"
"07/01/2016","217.12","209.36","217.54","207.06","1.65B","3.65%"
"06/01/2016","209.47","209.12","212.52","198.65","2.63B","-0.18%"
"05/01/2016","209.84","206.92","210.69","202.78","1.83B","1.70%"
"04/01/2016","206.33","204.35","210.92","203.09","1.91B","0.39%"
"03/01/2016","205.52","195.01","206.87","194.45","2.32B","6.18%"
"02/01/2016","193.56","192.53","196.68","181.09","2.92B","-0.08%"
"01/01/2016","193.72","200.49","201.90","181.02","3.71B","-4.98%"
"12/01/2015","203.87","209.44","211.00","199.83","2.92B","-2.31%"
"11/01/2015","208.69","208.32","211.66","202.18","1.92B","0.37%"
"10/01/2015","207.93","192.08","209.44","189.12","2.54B","8.51%"
"09/01/2015","191.63","193.12","202.89","186.93","3.28B","-3.06%"
"08/01/2015","197.67","210.46","211.31","182.40","3.73B","-6.10%"
"07/01/2015","210.50","207.73","213.18","204.11","2.45B","2.26%"
"06/01/2015","205.85","211.94","213.34","205.28","2.54B","-2.51%"
"05/01/2015","211.14","209.40","213.78","206.76","1.89B","1.29%"
"04/01/2015","208.46","206.39","212.48","204.51","2.04B","0.98%"
"03/01/2015","206.43","210.78","212.06","204.12","2.75B","-2.01%"
"02/01/2015","210.66","200.05","212.24","197.86","1.90B","5.62%"
"01/01/2015","199.45","206.38","206.88","198.55","3.18B","-2.96%"
"12/01/2014","205.54","206.40","212.97","197.86","3.05B","-0.80%"
"11/01/2014","207.20","201.92","207.87","200.06","1.57B","2.75%"
"10/01/2014","201.66","196.70","201.82","181.92","3.94B","2.36%"
"09/01/2014","197.02","200.97","201.90","196.05","2.11B","-1.84%"
"08/01/2014","200.71","192.56","200.82","190.55","1.83B","3.95%"
"07/01/2014","193.09","196.20","199.06","192.97","1.89B","-1.34%"
"06/01/2014","195.72","192.95","196.60","191.97","1.68B","1.58%"
"05/01/2014","192.68","188.22","192.80","186.01","1.78B","2.32%"
"04/01/2014","188.31","187.62","189.70","181.31","2.35B","0.70%"
"03/01/2014","187.01","184.65","189.02","183.75","2.55B","0.39%"
"02/01/2014","186.29","177.97","187.15","173.71","2.39B","4.55%"
"01/01/2014","178.18","183.98","184.94","176.88","2.53B","-3.52%"
"12/01/2013","184.69","181.09","184.69","177.32","2.23B","2.04%"
"11/01/2013","181.00","176.02","181.75","174.76","1.93B","2.96%"
"10/01/2013","175.79","168.14","177.51","164.53","2.90B","4.63%"
"09/01/2013","168.01","165.23","173.60","163.70","2.25B","2.66%"
"08/01/2013","163.65","169.99","170.97","163.05","2.28B","-3.00%"
"07/01/2013","168.71","161.26","169.86","160.22","2.33B","5.17%"
"06/01/2013","160.42","163.83","165.99","155.73","3.53B","-1.85%"
"05/01/2013","163.44","159.33","169.07","158.10","2.78B","2.35%"
"04/01/2013","159.68","156.59","159.72","153.55","2.91B","1.92%"
"03/01/2013","156.67","151.09","156.85","150.41","2.33B","3.34%"
"02/01/2013","151.61","150.65","153.28","148.73","2.58B","1.28%"
"01/01/2013","149.70","145.11","150.94","144.73","2.59B","5.12%"
"12/01/2012","142.41","142.80","145.58","139.54","2.89B","0.18%"
"11/01/2012","142.16","141.65","143.72","134.70","3.03B","0.57%"
"10/01/2012","141.35","144.52","147.16","140.39","2.72B","-1.82%"
"09/01/2012","143.97","141.04","148.11","140.13","2.39B","1.99%"
"08/01/2012","141.16","138.70","143.09","135.58","2.41B","2.51%"
"07/01/2012","137.71","136.48","139.34","132.60","2.86B","1.18%"
"06/01/2012","136.10","129.41","136.27","127.14","3.64B","3.52%"
"05/01/2012","131.47","139.79","141.66","129.55","4.00B","-6.01%"
"04/01/2012","139.87","140.64","142.21","135.76","3.03B","-0.67%"
"03/01/2012","140.81","137.31","141.83","134.36","3.06B","2.77%"
"02/01/2012","137.02","132.29","138.19","132.13","2.90B","4.34%"
"01/01/2012","131.32","127.76","133.40","126.43","2.88B","4.64%"
"12/01/2011","125.50","124.85","127.26","120.03","3.85B","0.41%"
"11/01/2011","124.99","122.03","128.02","116.20","5.01B","-0.41%"
"10/01/2011","125.50","112.49","129.42","107.43","5.67B","10.91%"
"09/01/2011","113.15","122.29","123.40","111.30","6.19B","-7.42%"
"08/01/2011","122.22","130.84","130.96","110.27","9.05B","-5.50%"
"07/01/2011","129.33","132.09","135.70","127.97","3.84B","-2.00%"
"06/01/2011","131.97","134.51","134.92","126.19","4.71B","-2.17%"
"05/01/2011","134.90","137.07","137.18","131.38","3.34B","-1.12%"
"04/01/2011","136.43","133.41","136.57","129.51","2.82B","2.90%"
"03/01/2011","132.59","133.57","133.69","125.28","4.79B","-0.42%"
"02/01/2011","133.15","129.46","134.69","129.38","2.82B","3.47%"
"01/01/2011","128.68","126.71","130.35","125.70","2.86B","2.33%"